Fecha;Plato;Ventas;Pedidos_Cancelados;Costo_Promedio;Likes_Redes
2025-01-12 00:00:00;Arepa con Queso;50;1;13724;59
2025-01-13 00:00:00;Bandeja Paisa;16;2;13608;76
2025-01-13 00:00:00;Tamales;20;5;10980;63
2025-01-13 00:00:00;Sancocho;23;1;11780;29
2025-01-13 00:00:00;Arepa con Queso;17;1;10668;84
2025-01-14 00:00:00;Bandeja Paisa;36;2;10007;13
2025-01-14 00:00:00;Tamales;12;0;12443;66
2025-01-14 00:00:00;Sancocho;34;4;14065;42
2025-01-14 00:00:00;Arepa con Queso;48;5;12809;10
2025-01-15 00:00:00;Bandeja Paisa;26;2;14541;65
2025-01-15 00:00:00;Tamales;24;4;8831;64
2025-01-15 00:00:00;Sancocho;44;0;12280;25
2025-01-15 00:00:00;Arepa con Queso;15;3;9236;84
2025-01-16 00:00:00;Bandeja Paisa;18;2;12873;94
2025-01-16 00:00:00;Tamales;19;5;12044;18
2025-01-16 00:00:00;Sancocho;10;0;12078;71
2025-01-16 00:00:00;Arepa con Queso;23;5;11121;66
2025-01-17 00:00:00;Bandeja Paisa;36;2;11944;76
2025-01-17 00:00:00;Tamales;29;2;8191;34
2025-01-17 00:00:00;Sancocho;25;0;12970;49
2025-01-17 00:00:00;Arepa con Queso;10;2;14730;79
2025-01-18 00:00:00;Bandeja Paisa;29;5;14578;20
2025-01-18 00:00:00;Tamales;13;2;10243;12
2025-01-18 00:00:00;Sancocho;19;3;12384;25
2025-01-18 00:00:00;Arepa con Queso;17;5;14243;65
2025-01-19 00:00:00;Bandeja Paisa;12;5;13007;93
2025-01-19 00:00:00;Tamales;46;1;12709;8
2025-01-19 00:00:00;Sancocho;33;0;13791;63
2025-01-19 00:00:00;Arepa con Queso;20;2;13187;6
2025-01-20 00:00:00;Bandeja Paisa;19;2;14650;24
2025-01-20 00:00:00;Tamales;25;3;11903;26
2025-01-20 00:00:00;Sancocho;31;2;14801;34
2025-01-20 00:00:00;Arepa con Queso;43;4;14850;26
2025-01-21 00:00:00;Bandeja Paisa;30;2;9339;55
2025-01-21 00:00:00;Tamales;30;1;13766;63
2025-01-21 00:00:00;Sancocho;24;0;13021;70
2025-01-21 00:00:00;Arepa con Queso;10;0;11814;2
2025-01-22 00:00:00;Bandeja Paisa;18;0;8808;32
2025-01-22 00:00:00;Tamales;39;4;9319;98
2025-01-22 00:00:00;Sancocho;46;4;14204;98
2025-01-22 00:00:00;Arepa con Queso;23;0;8431;9
2025-01-23 00:00:00;Bandeja Paisa;16;3;13529;56
2025-01-23 00:00:00;Tamales;37;3;11480;71
2025-01-23 00:00:00;Sancocho;38;3;9891;50
2025-01-23 00:00:00;Arepa con Queso;14;5;8090;91
2025-01-24 00:00:00;Bandeja Paisa;44;2;8950;19
2025-01-24 00:00:00;Tamales;36;0;10932;12
2025-01-24 00:00:00;Sancocho;37;2;12557;79
2025-01-24 00:00:00;Arepa con Queso;12;3;13696;94
2025-01-25 00:00:00;Bandeja Paisa;35;2;13093;12
2025-01-25 00:00:00;Tamales;28;5;9027;40
2025-01-25 00:00:00;Sancocho;23;3;9052;100
2025-01-25 00:00:00;Arepa con Queso;23;1;12830;0
2025-01-26 00:00:00;Bandeja Paisa;25;1;9432;8
2025-01-26 00:00:00;Tamales;41;0;10406;72
2025-01-26 00:00:00;Sancocho;14;5;9599;13
2025-01-26 00:00:00;Arepa con Queso;40;2;12492;18
2025-01-27 00:00:00;Bandeja Paisa;22;0;9957;67
2025-01-27 00:00:00;Tamales;38;2;8995;72
2025-01-27 00:00:00;Sancocho;48;3;14793;18
2025-01-27 00:00:00;Arepa con Queso;14;2;14752;21
2025-01-28 00:00:00;Bandeja Paisa;20;0;14549;63
2025-01-28 00:00:00;Tamales;43;4;11883;72
2025-01-28 00:00:00;Sancocho;50;0;9143;54
2025-01-28 00:00:00;Arepa con Queso;16;1;12029;4
2025-01-29 00:00:00;Bandeja Paisa;15;3;14261;46
2025-01-29 00:00:00;Tamales;13;3;12469;82
2025-01-29 00:00:00;Sancocho;39;4;10371;29
2025-01-29 00:00:00;Arepa con Queso;27;2;12782;46
2025-01-30 00:00:00;Bandeja Paisa;27;2;9508;64
2025-01-30 00:00:00;Tamales;25;2;14327;3
2025-01-30 00:00:00;Sancocho;36;1;11944;27
2025-01-30 00:00:00;Arepa con Queso;36;0;9407;33

